Program,Year,County,Commodity,Value(acres)
CENSUS,2017,ANSON,AG LAND,"1,180"
CENSUS,2017,CABARRUS,AG LAND,"6,827"
CENSUS,2017,CABARRUS,AG LAND,"20,552"
CENSUS,2017,CABARRUS,AG LAND,913
CENSUS,2017,CLEVELAND,AG LAND,"10,237"
CENSUS,2017,CLEVELAND,AG LAND,"26,478"
CENSUS,2017,CLEVELAND,AG LAND,"4,223"
CENSUS,2017,GASTON,AG LAND,"4,255"
CENSUS,2017,GASTON,AG LAND,"8,138"
CENSUS,2017,GASTON,AG LAND,908
CENSUS,2017,LINCOLN,AG LAND, (D)
CENSUS,2017,LINCOLN,AG LAND,"21,243"
CENSUS,2017,LINCOLN,AG LAND, (D)
CENSUS,2017,MECKLENBURG,AG LAND, (D)
CENSUS,2017,MECKLENBURG,AG LAND,"3,403"
CENSUS,2017,MECKLENBURG,AG LAND, (D)
CENSUS,2017,MONTGOMERY,AG LAND,"3,221"
CENSUS,2017,MONTGOMERY,AG LAND,"4,026"
CENSUS,2017,MONTGOMERY,AG LAND,"1,120"
CENSUS,2017,MOORE,AG LAND,"4,456"
CENSUS,2017,MOORE,AG LAND,"13,056"
CENSUS,2017,MOORE,AG LAND,397
CENSUS,2017,RICHMOND,AG LAND,"10,460"
CENSUS,2017,RICHMOND,AG LAND, (D)
CENSUS,2017,RICHMOND,AG LAND, (D)
CENSUS,2017,STANLY,AG LAND,"6,737"
CENSUS,2017,STANLY,AG LAND,"41,268"
CENSUS,2017,STANLY,AG LAND,"1,878"
CENSUS,2017,UNION,AG LAND,"10,177"
CENSUS,2017,UNION,AG LAND,"123,501"
CENSUS,2017,UNION,AG LAND,"1,836"
CENSUS,2017,BUNCOMBE,AG LAND,"5,260"
CENSUS,2017,BUNCOMBE,AG LAND,"8,217"
CENSUS,2017,BUNCOMBE,AG LAND,873
CENSUS,2017,BURKE,AG LAND,"5,544"
CENSUS,2017,BURKE,AG LAND,"8,037"
CENSUS,2017,BURKE,AG LAND,"1,820"
CENSUS,2017,CHEROKEE,AG LAND,"1,132"
CENSUS,2017,CHEROKEE,AG LAND,"4,375"
CENSUS,2017,CHEROKEE,AG LAND,171
CENSUS,2017,CLAY,AG LAND,"1,217"
CENSUS,2017,CLAY,AG LAND,"2,440"
CENSUS,2017,CLAY,AG LAND,364
CENSUS,2017,GRAHAM,AG LAND,"1,671"
CENSUS,2017,GRAHAM,AG LAND,888
CENSUS,2017,GRAHAM,AG LAND,20
CENSUS,2017,HAYWOOD,AG LAND,"2,264"
CENSUS,2017,HAYWOOD,AG LAND,"6,558"
CENSUS,2017,HAYWOOD,AG LAND,432
CENSUS,2017,HENDERSON,AG LAND,"3,546"
CENSUS,2017,HENDERSON,AG LAND,"12,820"
CENSUS,2017,HENDERSON,AG LAND,"2,231"
CENSUS,2017,JACKSON,AG LAND,"1,829"
CENSUS,2017,JACKSON,AG LAND,"2,064"
CENSUS,2017,JACKSON,AG LAND,165
CENSUS,2017,MACON,AG LAND, (D)
CENSUS,2017,MACON,AG LAND, (D)
CENSUS,2017,MACON,AG LAND,300
CENSUS,2017,MADISON,AG LAND,"3,006"
CENSUS,2017,MADISON,AG LAND,"4,098"
CENSUS,2017,MADISON,AG LAND,206
CENSUS,2017,MCDOWELL,AG LAND, (D)
CENSUS,2017,MCDOWELL,AG LAND,"2,468"
CENSUS,2017,MCDOWELL,AG LAND, (D)
CENSUS,2017,MITCHELL,AG LAND,956
CENSUS,2017,MITCHELL,AG LAND,"1,271"
CENSUS,2017,MITCHELL,AG LAND,133
CENSUS,2017,POLK,AG LAND,"3,477"
CENSUS,2017,POLK,AG LAND,"1,934"
CENSUS,2017,POLK,AG LAND,76
CENSUS,2017,RUTHERFORD,AG LAND, (D)
CENSUS,2017,RUTHERFORD,AG LAND,"7,559"
CENSUS,2017,RUTHERFORD,AG LAND, (D)
CENSUS,2017,SWAIN,AG LAND,213
CENSUS,2017,SWAIN,AG LAND,488
CENSUS,2017,SWAIN,AG LAND,158
CENSUS,2017,TRANSYLVANIA,AG LAND,"1,450"
CENSUS,2017,TRANSYLVANIA,AG LAND,"2,149"
CENSUS,2017,TRANSYLVANIA,AG LAND,259
CENSUS,2017,YANCEY,AG LAND,"1,855"
CENSUS,2017,YANCEY,AG LAND,"3,405"
CENSUS,2017,YANCEY,AG LAND,94
CENSUS,2012,BEAUFORT,AG LAND, (D)
CENSUS,2012,BEAUFORT,AG LAND,"19,797"
CENSUS,2012,BEAUFORT,AG LAND,"86,645"
CENSUS,2012,BEAUFORT,AG LAND,"19,141"
CENSUS,2012,BEAUFORT,AG LAND, (D)
CENSUS,2012,BEAUFORT,AG LAND, (D)
CENSUS,2012,CARTERET,AG LAND, (D)
CENSUS,2012,CARTERET,AG LAND, (D)
CENSUS,2012,CARTERET,AG LAND,"7,226"
CENSUS,2012,CARTERET,AG LAND, (D)
CENSUS,2012,CARTERET,AG LAND, (D)
CENSUS,2012,CARTERET,AG LAND, (D)
CENSUS,2012,CRAVEN,AG LAND,398
CENSUS,2012,CRAVEN,AG LAND,"6,524"
CENSUS,2012,CRAVEN,AG LAND,"33,795"
CENSUS,2012,CRAVEN,AG LAND,"8,903"
CENSUS,2012,CRAVEN,AG LAND,336
CENSUS,2012,CRAVEN,AG LAND,62
CENSUS,2012,GREENE,AG LAND,"1,014"
CENSUS,2012,GREENE,AG LAND,"5,550"
CENSUS,2012,GREENE,AG LAND,"50,369"
CENSUS,2012,GREENE,AG LAND,"10,926"
CENSUS,2012,GREENE,AG LAND,254
CENSUS,2012,GREENE,AG LAND, (D)
CENSUS,2012,GREENE,AG LAND, (D)
CENSUS,2012,HYDE,AG LAND,269
CENSUS,2012,HYDE,AG LAND,"6,931"
CENSUS,2012,HYDE,AG LAND,"54,490"
CENSUS,2012,HYDE,AG LAND,"12,214"
CENSUS,2012,HYDE,AG LAND, (D)
CENSUS,2012,HYDE,AG LAND, (D)
CENSUS,2012,JOHNSTON,AG LAND,"4,661"
CENSUS,2012,JOHNSTON,AG LAND,"21,956"
CENSUS,2012,JOHNSTON,AG LAND,"89,577"
CENSUS,2012,JOHNSTON,AG LAND,"6,272"
CENSUS,2012,JOHNSTON,AG LAND, (D)
CENSUS,2012,JOHNSTON,AG LAND,"4,276"
CENSUS,2012,JOHNSTON,AG LAND, (D)
CENSUS,2012,JONES,AG LAND,"3,186"
CENSUS,2012,JONES,AG LAND,"1,551"
CENSUS,2012,JONES,AG LAND,"29,875"
CENSUS,2012,JONES,AG LAND,"9,671"
CENSUS,2012,JONES,AG LAND, (D)
CENSUS,2012,JONES,AG LAND, (D)
CENSUS,2012,LENOIR,AG LAND,"2,388"
CENSUS,2012,LENOIR,AG LAND,"6,269"
CENSUS,2012,LENOIR,AG LAND,"72,736"
CENSUS,2012,LENOIR,AG LAND,"11,778"
CENSUS,2012,LENOIR,AG LAND, (D)
CENSUS,2012,LENOIR,AG LAND, (D)
CENSUS,2012,PAMLICO,AG LAND, (D)
CENSUS,2012,PAMLICO,AG LAND, (D)
CENSUS,2012,PAMLICO,AG LAND,"30,873"
CENSUS,2012,PAMLICO,AG LAND, (D)
CENSUS,2012,PAMLICO,AG LAND, (D)
CENSUS,2012,PITT,AG LAND, (D)
CENSUS,2012,PITT,AG LAND,"9,853"
CENSUS,2012,PITT,AG LAND,"97,648"
CENSUS,2012,PITT,AG LAND,"22,018"
CENSUS,2012,PITT,AG LAND,74
CENSUS,2012,PITT,AG LAND, (D)
CENSUS,2012,PITT,AG LAND, (D)
CENSUS,2012,WAYNE,AG LAND,"9,098"
CENSUS,2012,WAYNE,AG LAND,"11,710"
CENSUS,2012,WAYNE,AG LAND,"120,037"
CENSUS,2012,WAYNE,AG LAND,"10,936"
CENSUS,2012,WAYNE,AG LAND,"1,349"
CENSUS,2012,WAYNE,AG LAND,"7,499"
CENSUS,2012,WAYNE,AG LAND,250
CENSUS,2012,WILSON,AG LAND, (D)
CENSUS,2012,WILSON,AG LAND,"2,034"
CENSUS,2012,WILSON,AG LAND,"73,070"
CENSUS,2012,WILSON,AG LAND,"8,531"
CENSUS,2012,WILSON,AG LAND, (D)
CENSUS,2012,WILSON,AG LAND, (D)
CENSUS,2012,WILSON,AG LAND, (D)
CENSUS,2012,ALEXANDER,AG LAND,"1,415"
CENSUS,2012,ALEXANDER,AG LAND,"3,132"
CENSUS,2012,ALEXANDER,AG LAND,"15,670"
CENSUS,2012,ALEXANDER,AG LAND,203
CENSUS,2012,ALEXANDER,AG LAND,392
CENSUS,2012,ALEXANDER,AG LAND,"1,001"
CENSUS,2012,ALEXANDER,AG LAND,22
CENSUS,2012,CATAWBA,AG LAND,938
CENSUS,2012,CATAWBA,AG LAND,"4,779"
CENSUS,2012,CATAWBA,AG LAND,"20,194"
CENSUS,2012,CATAWBA,AG LAND,"1,668"
CENSUS,2012,CATAWBA,AG LAND,425
CENSUS,2012,CATAWBA,AG LAND,363
CENSUS,2012,CATAWBA,AG LAND,150
CENSUS,2012,CHATHAM,AG LAND,"1,736"
CENSUS,2012,CHATHAM,AG LAND,"6,532"
CENSUS,2012,CHATHAM,AG LAND,"14,566"
CENSUS,2012,CHATHAM,AG LAND,610
CENSUS,2012,CHATHAM,AG LAND,"1,427"
CENSUS,2012,CHATHAM,AG LAND,269
CENSUS,2012,CHATHAM,AG LAND,40
CENSUS,2012,DAVIDSON,AG LAND,"1,505"
CENSUS,2012,DAVIDSON,AG LAND,"7,556"
CENSUS,2012,DAVIDSON,AG LAND,"26,433"
CENSUS,2012,DAVIDSON,AG LAND,"2,651"
CENSUS,2012,DAVIDSON,AG LAND,793
CENSUS,2012,DAVIDSON,AG LAND, (D)
CENSUS,2012,DAVIDSON,AG LAND, (D)
CENSUS,2012,DAVIE,AG LAND,"1,013"
CENSUS,2012,DAVIE,AG LAND,"5,837"
CENSUS,2012,DAVIE,AG LAND,"21,268"
CENSUS,2012,DAVIE,AG LAND,510
CENSUS,2012,DAVIE,AG LAND,736
CENSUS,2012,DAVIE,AG LAND, (D)
CENSUS,2012,DAVIE,AG LAND, (D)
CENSUS,2012,IREDELL,AG LAND,"2,858"
CENSUS,2012,IREDELL,AG LAND,"12,692"
CENSUS,2012,IREDELL,AG LAND,"55,566"
CENSUS,2012,IREDELL,AG LAND,"2,125"
CENSUS,2012,IREDELL,AG LAND,"2,268"
CENSUS,2012,IREDELL,AG LAND,590
CENSUS,2012,LEE,AG LAND,794
CENSUS,2012,LEE,AG LAND,"1,471"
CENSUS,2012,LEE,AG LAND,"11,857"
CENSUS,2012,LEE,AG LAND,122
CENSUS,2012,LEE,AG LAND,699
CENSUS,2012,LEE,AG LAND, (D)
CENSUS,2012,LEE,AG LAND, (D)
CENSUS,2012,RANDOLPH,AG LAND,"1,857"
CENSUS,2012,RANDOLPH,AG LAND,"12,686"
CENSUS,2012,RANDOLPH,AG LAND,"37,450"
CENSUS,2012,RANDOLPH,AG LAND,"1,614"
CENSUS,2012,RANDOLPH,AG LAND,"1,137"
CENSUS,2012,RANDOLPH,AG LAND, (D)
CENSUS,2012,RANDOLPH,AG LAND, (D)
CENSUS,2012,ROWAN,AG LAND,"2,423"
CENSUS,2012,ROWAN,AG LAND,"11,889"
CENSUS,2012,ROWAN,AG LAND,"49,230"
CENSUS,2012,ROWAN,AG LAND,"1,413"
CENSUS,2012,ROWAN,AG LAND,614
CENSUS,2012,ROWAN,AG LAND,"1,809"
CENSUS,2012,WAKE,AG LAND,"1,659"
CENSUS,2012,WAKE,AG LAND,"6,178"
CENSUS,2012,WAKE,AG LAND,"26,758"
CENSUS,2012,WAKE,AG LAND,"5,054"
CENSUS,2012,WAKE,AG LAND, (D)
CENSUS,2012,WAKE,AG LAND, (D)
CENSUS,2012,WAKE,AG LAND,32
CENSUS,2012,BERTIE,AG LAND,"4,175"
CENSUS,2012,BERTIE,AG LAND,"6,114"
CENSUS,2012,BERTIE,AG LAND,"67,859"
CENSUS,2012,BERTIE,AG LAND,"19,251"
CENSUS,2012,BERTIE,AG LAND, (D)
CENSUS,2012,BERTIE,AG LAND,"3,653"
CENSUS,2012,BERTIE,AG LAND, (D)
CENSUS,2012,CAMDEN,AG LAND, (D)
CENSUS,2012,CAMDEN,AG LAND, (D)
CENSUS,2012,CAMDEN,AG LAND,"35,622"
CENSUS,2012,CAMDEN,AG LAND, (D)
CENSUS,2012,CAMDEN,AG LAND, (D)
CENSUS,2012,CHOWAN,AG LAND, (D)
CENSUS,2012,CHOWAN,AG LAND,"3,534"
CENSUS,2012,CHOWAN,AG LAND,"38,868"
CENSUS,2012,CHOWAN,AG LAND,"3,897"
CENSUS,2012,CHOWAN,AG LAND, (D)
CENSUS,2012,CURRITUCK,AG LAND,90
CENSUS,2012,CURRITUCK,AG LAND,"2,425"
CENSUS,2012,CURRITUCK,AG LAND,"13,974"
CENSUS,2012,CURRITUCK,AG LAND,"14,893"
CENSUS,2012,CURRITUCK,AG LAND,90
CENSUS,2012,DARE,AG LAND, (D)
CENSUS,2012,DARE,AG LAND, (D)
CENSUS,2012,DARE,AG LAND, (D)
CENSUS,2012,DARE,AG LAND, (D)
CENSUS,2012,DARE,AG LAND, (D)
CENSUS,2012,EDGECOMBE,AG LAND,992
CENSUS,2012,EDGECOMBE,AG LAND,"3,406"
CENSUS,2012,EDGECOMBE,AG LAND,"72,633"
CENSUS,2012,EDGECOMBE,AG LAND,"11,021"
CENSUS,2012,EDGECOMBE,AG LAND,5
CENSUS,2012,EDGECOMBE,AG LAND,987
CENSUS,2012,GATES,AG LAND,3
CENSUS,2012,GATES,AG LAND,"2,991"
CENSUS,2012,GATES,AG LAND,"40,304"
CENSUS,2012,GATES,AG LAND,737
CENSUS,2012,GATES,AG LAND,3
CENSUS,2012,HALIFAX,AG LAND,"2,925"
CENSUS,2012,HALIFAX,AG LAND,"12,814"
CENSUS,2012,HALIFAX,AG LAND,"84,685"
CENSUS,2012,HALIFAX,AG LAND,"15,631"
CENSUS,2012,HALIFAX,AG LAND,25
CENSUS,2012,HALIFAX,AG LAND,"2,900"
CENSUS,2012,HERTFORD,AG LAND,82
CENSUS,2012,HERTFORD,AG LAND,"7,003"
CENSUS,2012,HERTFORD,AG LAND,"36,399"
CENSUS,2012,HERTFORD,AG LAND,"6,996"
CENSUS,2012,HERTFORD,AG LAND,82
CENSUS,2012,MARTIN,AG LAND, (D)
CENSUS,2012,MARTIN,AG LAND,"6,366"
CENSUS,2012,MARTIN,AG LAND,"69,784"
CENSUS,2012,MARTIN,AG LAND,"10,308"
CENSUS,2012,MARTIN,AG LAND,20
CENSUS,2012,MARTIN,AG LAND, (D)
CENSUS,2012,NASH,AG LAND,"3,822"
CENSUS,2012,NASH,AG LAND,"2,685"
CENSUS,2012,NASH,AG LAND,"62,349"
CENSUS,2012,NASH,AG LAND,"19,769"
CENSUS,2012,NASH,AG LAND,65
CENSUS,2012,NASH,AG LAND,"3,757"
CENSUS,2012,NORTHAMPTON,AG LAND, (D)
CENSUS,2012,NORTHAMPTON,AG LAND,"10,940"
CENSUS,2012,NORTHAMPTON,AG LAND,"84,072"
CENSUS,2012,NORTHAMPTON,AG LAND,"9,555"
CENSUS,2012,NORTHAMPTON,AG LAND,137
CENSUS,2012,NORTHAMPTON,AG LAND, (D)
CENSUS,2012,PASQUOTANK,AG LAND, (D)
CENSUS,2012,PASQUOTANK,AG LAND,"9,306"
CENSUS,2012,PASQUOTANK,AG LAND,"53,650"
CENSUS,2012,PASQUOTANK,AG LAND,"4,455"
CENSUS,2012,PASQUOTANK,AG LAND, (D)
CENSUS,2012,PASQUOTANK,AG LAND, (D)
CENSUS,2012,PERQUIMANS,AG LAND,92
CENSUS,2012,PERQUIMANS,AG LAND,"1,821"
CENSUS,2012,PERQUIMANS,AG LAND,"61,735"
CENSUS,2012,PERQUIMANS,AG LAND,"8,168"
CENSUS,2012,PERQUIMANS,AG LAND,92
CENSUS,2012,TYRRELL,AG LAND,"8,622"
CENSUS,2012,TYRRELL,AG LAND,"42,639"
CENSUS,2012,TYRRELL,AG LAND,"5,601"
CENSUS,2012,WASHINGTON,AG LAND, (D)
CENSUS,2012,WASHINGTON,AG LAND,"7,065"
CENSUS,2012,WASHINGTON,AG LAND,"51,228"
CENSUS,2012,WASHINGTON,AG LAND,"13,986"
CENSUS,2012,WASHINGTON,AG LAND,51
CENSUS,2012,WASHINGTON,AG LAND, (D)
CENSUS,2012,ALLEGHANY,AG LAND,"2,229"
CENSUS,2012,ALLEGHANY,AG LAND,"6,662"
CENSUS,2012,ALLEGHANY,AG LAND,"23,050"
CENSUS,2012,ALLEGHANY,AG LAND,489
CENSUS,2012,ALLEGHANY,AG LAND,"1,336"
CENSUS,2012,ALLEGHANY,AG LAND, (D)
CENSUS,2012,ALLEGHANY,AG LAND, (D)
CENSUS,2012,ASHE,AG LAND,"1,154"
CENSUS,2012,ASHE,AG LAND,"7,428"
CENSUS,2012,ASHE,AG LAND,"17,989"
CENSUS,2012,ASHE,AG LAND,"2,283"
CENSUS,2012,ASHE,AG LAND,818
CENSUS,2012,ASHE,AG LAND, (D)
CENSUS,2012,ASHE,AG LAND, (D)
CENSUS,2012,AVERY,AG LAND,315
CENSUS,2012,AVERY,AG LAND,"4,852"
CENSUS,2012,AVERY,AG LAND,"4,458"
CENSUS,2012,AVERY,AG LAND,625
CENSUS,2012,AVERY,AG LAND,212
CENSUS,2012,AVERY,AG LAND,103
CENSUS,2012,CALDWELL,AG LAND,159
CENSUS,2012,CALDWELL,AG LAND,"2,831"
CENSUS,2012,CALDWELL,AG LAND,"7,184"
CENSUS,2012,CALDWELL,AG LAND,352
CENSUS,2012,CALDWELL,AG LAND,64
CENSUS,2012,CALDWELL,AG LAND,35
CENSUS,2012,CALDWELL,AG LAND,60
CENSUS,2012,SURRY,AG LAND,"1,683"
CENSUS,2012,SURRY,AG LAND,"9,360"
CENSUS,2012,SURRY,AG LAND,"38,687"
CENSUS,2012,SURRY,AG LAND,"2,722"
CENSUS,2012,SURRY,AG LAND,"1,205"
CENSUS,2012,SURRY,AG LAND,478
CENSUS,2012,WATAUGA,AG LAND,295
CENSUS,2012,WATAUGA,AG LAND,"3,605"
CENSUS,2012,WATAUGA,AG LAND,"5,575"
CENSUS,2012,WATAUGA,AG LAND,"1,061"
CENSUS,2012,WATAUGA,AG LAND,186
CENSUS,2012,WATAUGA,AG LAND, (D)
CENSUS,2012,WATAUGA,AG LAND, (D)
CENSUS,2012,WILKES,AG LAND,793
CENSUS,2012,WILKES,AG LAND,"6,377"
CENSUS,2012,WILKES,AG LAND,"24,383"
CENSUS,2012,WILKES,AG LAND,"2,395"
CENSUS,2012,WILKES,AG LAND,322
CENSUS,2012,WILKES,AG LAND,463
CENSUS,2012,WILKES,AG LAND,8
CENSUS,2012,YADKIN,AG LAND,601
CENSUS,2012,YADKIN,AG LAND,"11,931"
CENSUS,2012,YADKIN,AG LAND,"35,560"
CENSUS,2012,YADKIN,AG LAND,"1,974"
CENSUS,2012,YADKIN,AG LAND,514
CENSUS,2012,YADKIN,AG LAND,87
CENSUS,2012,ALAMANCE,AG LAND,"1,152"
CENSUS,2012,ALAMANCE,AG LAND,"5,956"
CENSUS,2012,ALAMANCE,AG LAND,"20,430"
CENSUS,2012,ALAMANCE,AG LAND,457
CENSUS,2012,ALAMANCE,AG LAND, (D)
CENSUS,2012,ALAMANCE,AG LAND, (D)
CENSUS,2012,ALAMANCE,AG LAND,3
CENSUS,2012,CASWELL,AG LAND,763
CENSUS,2012,CASWELL,AG LAND,"4,089"
CENSUS,2012,CASWELL,AG LAND,"10,308"
CENSUS,2012,CASWELL,AG LAND,755
CENSUS,2012,CASWELL,AG LAND,364
CENSUS,2012,CASWELL,AG LAND, (D)
CENSUS,2012,CASWELL,AG LAND, (D)
CENSUS,2012,DURHAM,AG LAND,672
CENSUS,2012,DURHAM,AG LAND,"3,313"
CENSUS,2012,DURHAM,AG LAND,"1,603"
CENSUS,2012,DURHAM,AG LAND,60
CENSUS,2012,DURHAM,AG LAND, (D)
CENSUS,2012,DURHAM,AG LAND, (D)
CENSUS,2012,FORSYTH,AG LAND,"1,512"
CENSUS,2012,FORSYTH,AG LAND,"4,029"
CENSUS,2012,FORSYTH,AG LAND,"12,628"
CENSUS,2012,FORSYTH,AG LAND,562
CENSUS,2012,FORSYTH,AG LAND,533
CENSUS,2012,FORSYTH,AG LAND,901
CENSUS,2012,FORSYTH,AG LAND,78
CENSUS,2012,FRANKLIN,AG LAND,"1,148"
CENSUS,2012,FRANKLIN,AG LAND,"8,306"
CENSUS,2012,FRANKLIN,AG LAND,"38,791"
CENSUS,2012,FRANKLIN,AG LAND,"3,194"
CENSUS,2012,FRANKLIN,AG LAND,277
CENSUS,2012,FRANKLIN,AG LAND,871
CENSUS,2012,GRANVILLE,AG LAND,842
CENSUS,2012,GRANVILLE,AG LAND,"5,106"
CENSUS,2012,GRANVILLE,AG LAND,"12,821"
CENSUS,2012,GRANVILLE,AG LAND,"1,763"
CENSUS,2012,GRANVILLE,AG LAND, (D)
CENSUS,2012,GRANVILLE,AG LAND, (D)
CENSUS,2012,GUILFORD,AG LAND,"1,135"
CENSUS,2012,GUILFORD,AG LAND,"6,999"
CENSUS,2012,GUILFORD,AG LAND,"27,522"
CENSUS,2012,GUILFORD,AG LAND,"1,713"
CENSUS,2012,GUILFORD,AG LAND,529
CENSUS,2012,GUILFORD,AG LAND,606
CENSUS,2012,ORANGE,AG LAND,"1,239"
CENSUS,2012,ORANGE,AG LAND,"5,123"
CENSUS,2012,ORANGE,AG LAND,"11,655"
CENSUS,2012,ORANGE,AG LAND,"1,076"
CENSUS,2012,ORANGE,AG LAND,761
CENSUS,2012,ORANGE,AG LAND,464
CENSUS,2012,ORANGE,AG LAND,14
CENSUS,2012,PERSON,AG LAND,358
CENSUS,2012,PERSON,AG LAND, (D)
CENSUS,2012,PERSON,AG LAND,"29,032"
CENSUS,2012,PERSON,AG LAND, (D)
CENSUS,2012,PERSON,AG LAND,211
CENSUS,2012,PERSON,AG LAND,147
CENSUS,2012,ROCKINGHAM,AG LAND,871
CENSUS,2012,ROCKINGHAM,AG LAND,"8,020"
CENSUS,2012,ROCKINGHAM,AG LAND,"19,733"
CENSUS,2012,ROCKINGHAM,AG LAND,540
CENSUS,2012,ROCKINGHAM,AG LAND, (D)
CENSUS,2012,ROCKINGHAM,AG LAND, (D)
CENSUS,2012,STOKES,AG LAND,975
CENSUS,2012,STOKES,AG LAND,"7,545"
CENSUS,2012,STOKES,AG LAND,"12,350"
CENSUS,2012,STOKES,AG LAND,978
CENSUS,2012,STOKES,AG LAND,763
CENSUS,2012,STOKES,AG LAND,204
CENSUS,2012,STOKES,AG LAND,8
CENSUS,2012,VANCE,AG LAND,"1,000"
CENSUS,2012,VANCE,AG LAND,"1,619"
CENSUS,2012,VANCE,AG LAND,"10,561"
CENSUS,2012,VANCE,AG LAND,"1,710"
CENSUS,2012,VANCE,AG LAND, (D)
CENSUS,2012,VANCE,AG LAND,675
CENSUS,2012,VANCE,AG LAND, (D)
CENSUS,2012,WARREN,AG LAND,533
CENSUS,2012,WARREN,AG LAND,"3,046"
CENSUS,2012,WARREN,AG LAND,"14,582"
CENSUS,2012,WARREN,AG LAND,"1,146"
CENSUS,2012,WARREN,AG LAND,116
CENSUS,2012,WARREN,AG LAND, (D)
CENSUS,2012,WARREN,AG LAND, (D)
CENSUS,2012,BLADEN,AG LAND,"2,436"
CENSUS,2012,BLADEN,AG LAND,"7,956"
CENSUS,2012,BLADEN,AG LAND,"33,301"
CENSUS,2012,BLADEN,AG LAND,"5,719"
CENSUS,2012,BLADEN,AG LAND,441
CENSUS,2012,BLADEN,AG LAND, (D)
CENSUS,2012,BLADEN,AG LAND, (D)
CENSUS,2012,BRUNSWICK,AG LAND,398
CENSUS,2012,BRUNSWICK,AG LAND,"1,467"
CENSUS,2012,BRUNSWICK,AG LAND,"22,296"
CENSUS,2012,BRUNSWICK,AG LAND,998
CENSUS,2012,BRUNSWICK,AG LAND, (D)
CENSUS,2012,BRUNSWICK,AG LAND, (D)
CENSUS,2012,COLUMBUS,AG LAND,"1,234"
CENSUS,2012,COLUMBUS,AG LAND,"17,019"
CENSUS,2012,COLUMBUS,AG LAND,"83,683"
CENSUS,2012,COLUMBUS,AG LAND,"7,268"
CENSUS,2012,COLUMBUS,AG LAND,511
CENSUS,2012,COLUMBUS,AG LAND,723
CENSUS,2012,CUMBERLAND,AG LAND,"1,456"
CENSUS,2012,CUMBERLAND,AG LAND,"6,304"
CENSUS,2012,CUMBERLAND,AG LAND,"27,566"
CENSUS,2012,CUMBERLAND,AG LAND,"9,779"
CENSUS,2012,CUMBERLAND,AG LAND,73
CENSUS,2012,CUMBERLAND,AG LAND,530
CENSUS,2012,CUMBERLAND,AG LAND,853
CENSUS,2012,DUPLIN,AG LAND,839
CENSUS,2012,DUPLIN,AG LAND,"25,550"
CENSUS,2012,DUPLIN,AG LAND,"112,922"
CENSUS,2012,DUPLIN,AG LAND,"8,738"
CENSUS,2012,DUPLIN,AG LAND,641
CENSUS,2012,DUPLIN,AG LAND,188
CENSUS,2012,DUPLIN,AG LAND,10
CENSUS,2012,HARNETT,AG LAND,"1,313"
CENSUS,2012,HARNETT,AG LAND,"8,335"
CENSUS,2012,HARNETT,AG LAND,"58,060"
CENSUS,2012,HARNETT,AG LAND,"4,784"
CENSUS,2012,HARNETT,AG LAND, (D)
CENSUS,2012,HARNETT,AG LAND,"1,028"
CENSUS,2012,HARNETT,AG LAND, (D)
CENSUS,2012,HOKE,AG LAND,"2,273"
CENSUS,2012,HOKE,AG LAND,"4,258"
CENSUS,2012,HOKE,AG LAND,"27,520"
CENSUS,2012,HOKE,AG LAND,"3,026"
CENSUS,2012,HOKE,AG LAND, (D)
CENSUS,2012,HOKE,AG LAND, (D)
CENSUS,2012,HOKE,AG LAND, (D)
CENSUS,2012,NEW HANOVER,AG LAND,28
CENSUS,2012,NEW HANOVER,AG LAND,375
CENSUS,2012,NEW HANOVER,AG LAND,475
CENSUS,2012,NEW HANOVER,AG LAND, (D)
CENSUS,2012,NEW HANOVER,AG LAND, (D)
CENSUS,2012,NEW HANOVER,AG LAND, (D)
CENSUS,2012,ONSLOW,AG LAND, (D)
CENSUS,2012,ONSLOW,AG LAND,"7,916"
CENSUS,2012,ONSLOW,AG LAND,"23,876"
CENSUS,2012,ONSLOW,AG LAND,"4,879"
CENSUS,2012,ONSLOW,AG LAND,96
CENSUS,2012,ONSLOW,AG LAND, (D)
CENSUS,2012,ONSLOW,AG LAND, (D)
CENSUS,2012,PENDER,AG LAND,118
CENSUS,2012,PENDER,AG LAND,"8,231"
CENSUS,2012,PENDER,AG LAND,"18,110"
CENSUS,2012,PENDER,AG LAND,"1,270"
CENSUS,2012,PENDER,AG LAND, (D)
CENSUS,2012,PENDER,AG LAND, (D)
CENSUS,2012,ROBESON,AG LAND,"6,018"
CENSUS,2012,ROBESON,AG LAND,"26,316"
CENSUS,2012,ROBESON,AG LAND,"142,388"
CENSUS,2012,ROBESON,AG LAND,"22,970"
CENSUS,2012,ROBESON,AG LAND,"1,175"
CENSUS,2012,ROBESON,AG LAND,"4,329"
CENSUS,2012,ROBESON,AG LAND,514
CENSUS,2012,SAMPSON,AG LAND,"2,479"
CENSUS,2012,SAMPSON,AG LAND,"33,366"
CENSUS,2012,SAMPSON,AG LAND,"119,744"
CENSUS,2012,SAMPSON,AG LAND,"16,439"
CENSUS,2012,SAMPSON,AG LAND,"1,223"
CENSUS,2012,SAMPSON,AG LAND, (D)
CENSUS,2012,SAMPSON,AG LAND, (D)
CENSUS,2012,SCOTLAND,AG LAND,"3,331"
CENSUS,2012,SCOTLAND,AG LAND,"22,449"
CENSUS,2012,SCOTLAND,AG LAND,"5,254"
